timestamp,cpu,ram,disk
2026-08-09 11:19:01.312810,1.3,59.4,1.3
2026-08-09 11:19:07.315958,3.9,59.4,1.3
2026-08-09 11:19:13.319233,3.8,59.4,1.3
2026-08-09 11:19:19.323023,1.6,59.4,1.3
2026-08-09 11:19:25.327211,3.9,59.5,1.3
2026-08-09 11:19:31.330667,0.9,59.5,1.3
2026-08-09 11:19:37.337042,1.7,59.6,1.3
2026-08-09 11:19:43.340390,1.0,59.5,1.3
2026-08-09 11:19:49.343676,0.8,59.5,1.3
2026-08-09 11:19:55.346674,0.6,59.5,1.3
2026-08-09 11:20:01.350120,5.4,59.5,1.3
2026-08-09 11:20:07.354110,2.9,59.5,1.3
2026-08-09 11:20:13.357692,1.9,59.5,1.3
2026-08-09 11:20:19.361459,1.7,59.4,1.3
2026-08-09 11:20:25.364334,5.9,59.5,1.3
2026-08-09 11:20:31.367776,3.8,59.1,1.3
2026-08-09 11:20:37.371630,1.7,59.1,1.3
2026-08-09 11:20:43.376064,1.2,59.1,1.3
2026-08-09 11:20:49.380176,1.2,59.4,1.3
2026-08-09 11:20:55.383395,1.3,59.4,1.3
2026-08-09 11:21:01.386882,1.3,59.3,1.3
2026-08-09 11:21:07.391458,6.2,59.3,1.3
2026-08-09 11:21:13.395890,16.2,59.9,1.3
2026-08-09 11:21:19.399038,32.1,60.9,1.3
2026-08-09 11:21:25.402212,1.3,60.7,1.3
2026-08-09 11:21:31.405799,2.0,60.7,1.3
2026-08-09 11:21:37.409425,31.5,61.3,1.3
2026-08-09 11:21:43.411746,11.7,61.3,1.3
2026-08-09 11:21:49.415487,9.3,61.4,1.3
2026-08-09 11:21:55.418628,3.9,61.4,1.3
2026-08-09 11:22:01.422868,10.9,62.0,1.3
2026-08-09 11:22:07.432099,14.5,62.3,1.3
2026-08-09 11:22:13.435525,4.4,61.3,1.3
2026-08-09 11:22:19.438480,5.4,61.0,1.3
2026-08-09 11:22:25.441631,3.3,61.1,1.3
2026-08-09 11:22:31.445153,2.0,61.1,1.3
2026-08-09 11:22:37.448706,3.3,61.1,1.3
2026-08-09 11:22:43.452300,13.6,61.2,1.3
2026-08-09 11:22:49.456259,2.1,61.3,1.3
2026-08-09 11:22:55.459460,2.6,61.3,1.3
2026-08-09 11:23:01.463165,7.7,61.3,1.3
2026-08-09 11:23:07.466556,1.5,61.2,1.3
2026-08-09 11:23:13.470042,2.0,61.2,1.3
2026-08-09 11:23:19.473961,3.2,61.2,1.3
2026-08-09 11:23:25.477132,14.4,61.2,1.3
2026-08-09 11:23:31.480569,5.5,61.3,1.3
2026-08-09 11:23:37.484362,4.8,61.2,1.3
2026-08-09 11:23:43.488941,2.5,61.2,1.3
2026-08-09 11:23:49.492659,4.8,61.3,1.3
2026-08-09 11:23:55.496220,6.2,61.2,1.3
2026-08-09 11:24:01.499606,4.9,61.1,1.3
2026-08-09 11:24:07.502798,6.3,60.9,1.3
2026-08-09 11:24:13.506512,1.6,60.9,1.3
2026-08-09 11:24:19.509985,1.5,60.9,1.3
2026-08-09 11:24:25.514621,4.0,60.9,1.3
2026-08-09 11:24:31.518081,4.5,60.8,1.3
2026-08-09 11:24:37.571025,6.5,60.8,1.3
2026-08-09 11:24:43.573593,1.0,60.8,1.3
2026-08-09 11:24:49.577300,0.6,60.8,1.3
2026-08-09 11:24:55.581124,0.7,60.8,1.3
2026-08-09 11:25:01.584778,1.7,60.8,1.3
2026-08-09 11:25:07.589230,1.4,60.8,1.3
2026-08-09 11:25:13.593506,0.9,59.6,1.3
2026-08-09 11:25:19.597449,4.5,59.6,1.3
2026-08-09 11:25:25.600549,1.5,59.6,1.3
2026-08-09 11:25:31.603893,18.1,59.5,1.3
2026-08-09 11:25:37.607992,10.7,59.4,1.3
2026-08-09 11:25:43.612210,0.6,59.4,1.3
2026-08-09 11:25:49.615310,0.5,59.5,1.3
2026-08-09 11:25:55.618975,0.4,59.5,1.3
2026-08-09 11:26:01.623701,6.9,59.6,1.3
2026-08-09 11:26:07.626909,1.4,59.6,1.3
2026-08-09 11:26:13.630043,1.0,59.5,1.3
2026-08-09 11:26:19.633753,2.3,59.5,1.3
2026-08-09 11:26:25.637218,1.4,59.5,1.3
2026-08-09 11:26:31.642183,5.9,59.5,1.3
2026-08-09 11:26:37.645720,1.8,59.5,1.3
2026-08-09 11:26:43.649498,1.4,59.5,1.3
2026-08-09 11:26:49.652533,0.6,59.5,1.3
2026-08-09 11:26:55.656287,1.1,59.4,1.3
2026-08-09 11:27:01.659466,2.0,59.4,1.3
2026-08-09 11:27:07.663770,0.5,59.4,1.3
2026-08-09 11:27:13.667418,1.5,59.4,1.3
2026-08-09 11:27:19.670456,1.1,59.4,1.3
2026-08-09 11:27:25.674631,0.8,59.4,1.3
2026-08-09 11:27:31.678306,2.0,59.3,1.3
2026-08-09 11:27:37.682336,7.1,59.3,1.3
2026-08-09 11:27:43.685509,13.0,59.5,1.3
2026-08-09 11:27:49.689037,5.4,59.7,1.3
2026-08-09 11:27:55.692791,2.8,59.7,1.3
2026-08-09 11:28:01.696771,8.3,59.7,1.3
2026-08-09 11:28:07.700439,5.7,59.7,1.3
2026-08-09 11:28:13.703126,1.5,59.6,1.3
2026-08-09 11:28:19.706612,2.2,58.7,1.3
2026-08-09 11:28:25.709896,1.7,58.7,1.3
2026-08-09 11:28:31.714708,3.6,58.7,1.3
2026-08-09 11:28:37.718656,4.8,58.4,1.3
2026-08-09 11:28:43.723501,7.2,58.5,1.3
2026-08-09 11:28:49.728204,3.3,59.0,1.3
2026-08-09 11:28:55.733008,5.4,59.0,1.3
2026-08-09 11:29:01.736747,3.0,59.1,1.3
2026-08-09 11:29:07.740968,2.0,59.0,1.3
2026-08-09 11:29:13.744833,5.9,59.0,1.3
2026-08-09 11:29:19.748659,1.7,59.0,1.3
2026-08-09 11:29:25.752233,1.3,58.9,1.3
2026-08-09 11:29:31.755902,6.6,59.0,1.3
2026-08-09 11:29:37.759727,2.2,59.0,1.3
2026-08-09 11:29:43.763130,1.6,59.0,1.3
2026-08-09 11:29:49.766490,1.0,58.9,1.3
2026-08-09 11:29:55.770158,9.1,58.8,1.3
2026-08-09 11:30:01.773161,9.6,58.8,1.3
2026-08-09 11:30:07.777289,7.0,58.8,1.3
2026-08-09 11:30:13.780102,6.6,57.5,1.3
2026-08-09 11:30:19.783252,1.7,57.4,1.3
2026-08-09 11:30:25.786285,9.6,57.3,1.3
2026-08-09 11:30:31.790828,3.6,57.4,1.3
2026-08-09 11:30:37.794319,3.5,57.5,1.3
2026-08-09 11:30:43.797983,2.0,57.6,1.3
2026-08-09 11:30:49.809283,15.4,58.0,1.3
2026-08-09 11:30:55.812637,1.7,57.8,1.3
2026-08-09 11:31:01.816384,1.8,57.9,1.3
2026-08-09 11:31:07.819341,5.7,57.8,1.3
2026-08-09 11:31:13.823448,7.1,57.9,1.3
2026-08-09 11:31:19.827558,17.5,57.8,1.3
2026-08-09 11:31:25.830712,3.3,57.8,1.3
2026-08-09 11:31:31.834557,2.0,57.7,1.3
2026-08-09 11:31:37.838298,4.6,57.8,1.3
2026-08-09 11:31:43.842310,1.9,57.7,1.3
2026-08-09 11:31:49.845981,15.2,57.7,1.3
2026-08-09 11:31:55.848840,4.3,57.7,1.3
2026-08-09 11:32:01.852395,7.7,57.6,1.3
2026-08-09 11:32:07.856663,8.8,57.6,1.3
2026-08-09 11:32:13.859845,4.1,57.7,1.3
2026-08-09 11:32:19.863438,2.3,57.8,1.3
2026-08-09 11:32:25.866732,13.7,57.7,1.3
